Station,River,Drainage_b,Latitude,Longitude,Area_sim_km2,Type,Validation,COMID,watershed,subbasin,Country,Climate
Betsiboka_kamoro_km0127,Kamoro,Betsiboka,-16.5216,46.9379,14141.87,Operational,Automatic,7092448,africa,geoglows,Madagascar,Tropical
Betsiboka_kamoro_km0195,Kamoro,Betsiboka,-16.3354,47.3229,10213.66,Operational,Automatic,7092320,africa,geoglows,Madagascar,Tropical
Breede_breede_km0020,Breede,Breede,-34.3495,20.6639,17152.88,Operational,Automatic,7106699,africa,geoglows,South Africa,Arid
Buzi_buzi_km0016,Buzi,Buzi,-19.8959,34.6151,32411.9,Operational,Automatic,7096655,africa,geoglows,Mozambique,Tropical
Buzi_buzi_km0045,Buzi,Buzi,-19.9046,34.4459,32411.9,Operational,Automatic,7096655,africa,geoglows,Mozambique,Tropical
Buzi_revue_km0120,Revue,Buzi,-19.8244,33.9948,9609.72,Operational,Automatic,7096563,africa,geoglows,Mozambique,Tropical
Chelif_oued-Chlef_km0001,Oued-chlef,Chelif,36.0336,0.1427,67115.46,Operational,Automatic,7000293,africa,geoglows,Algeria,Arid
Comoe_comoe_km0091,Comoe,Comoe,5.7561,-3.4561,78324.37,Operational,Automatic,7062445,africa,geoglows,Ivory Coast,Tropical
Comoe_comoe_km0212,Comoe,Comoe,6.367,-3.5531,73182.08,Operational,Expert,7060571,africa,geoglows,Ivory Coast,Tropical
Comoe_comoe_km0337,Comoe,Comoe,7.0049,-3.7364,69304.3,Operational,Expert,7059017,africa,geoglows,Ivory Coast,Tropical
Comoe_comoe_km0552,Comoe,Comoe,7.9279,-3.9432,51416.02,Operational,Expert,7056465,africa,geoglows,Ivory Coast,Tropical
Comoe_comoe_km0562,Comoe,Comoe,7.9729,-3.9534,50895.99,Operational,Expert,7056264,africa,geoglows,Ivory Coast,Tropical
Comoe_comoe_km0594,Comoe,Comoe,8.1071,-3.9834,50609.22,Operational,Expert,7056249,africa,geoglows,Ivory Coast,Tropical
Comoe_comoe_km0613,Comoe,Comoe,8.1746,-3.9986,49850.17,Operational,Expert,7055796,africa,geoglows,Ivory Coast,Tropical
Comoe_comoe_km0636,Comoe,Comoe,8.3074,-4.0284,48103.64,Operational,Expert,7055404,africa,geoglows,Ivory Coast,Tropical
Comoe_comoe_km0801,Comoe,Comoe,9.0578,-3.8846,592.37,Operational,Expert,7053418,africa,geoglows,Ivory Coast,Tropical
Comoe_comoe_km0811,Comoe,Comoe,9.1018,-3.8746,31810.34,Operational,Expert,7053266,africa,geoglows,Ivory Coast,Tropical
Comoe_comoe_km0854,Comoe,Comoe,9.2211,-4.0299,29797.71,Operational,Expert,7052829,africa,geoglows,Ivory Coast,Tropical
Comoe_comoe_km0931,Comoe,Comoe,9.6013,-4.3199,21127.43,Operational,Expert,7051757,africa,geoglows,Ivory Coast,Tropical
Congo_alima_km0961,Alima,Congo,-1.5066,16.3874,22636.35,Operational,Automatic,7074620,africa,geoglows,Congo-Brazzaville,Tropical
Congo_alima_km1002,Alima,Congo,-1.3101,16.2496,20888.71,Operational,Expert,7074303,africa,geoglows,Congo-Brazzaville,Tropical
Congo_alima_km1094,Alima,Congo,-1.0489,15.8401,17938.09,Operational,Automatic,7074052,africa,geoglows,Congo-Brazzaville,Tropical
Congo_alima_km1098,Alima,Congo,-1.0394,15.815,17938.09,Operational,Automatic,7074052,africa,geoglows,Congo-Brazzaville,Tropical
Congo_alima_km1188,Alima,Congo,-1.0451,15.3731,10670.88,Operational,Expert,7074007,africa,geoglows,Congo-Brazzaville,Tropical
Congo_alima_km1193,Alima,Congo,-1.0603,15.3531,10670.88,Operational,Automatic,7074007,africa,geoglows,Congo-Brazzaville,Tropical
Congo_aruwimi_km2042,Aruwimi,Congo,1.2584,23.7224,115494.4,Operational,Expert,7070473,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_aruwimi_km2056,Aruwimi,Congo,1.296,23.8396,115494.4,Operational,Automatic,7070473,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_aruwimi_km2058,Aruwimi,Congo,1.2919,23.8486,114944.81,Operational,Expert,7070464,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_aruwimi_km2113,Aruwimi,Congo,1.3252,24.1759,110882.09,Operational,Automatic,7070381,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_aruwimi_km2130,Aruwimi,Congo,1.3317,24.3141,110217.03,Operational,Expert,7070319,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_aruwimi_km2131,Aruwimi,Congo,1.3372,24.3299,110217.03,Operational,Expert,7070319,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_aruwimi_km2173,Aruwimi,Congo,1.2935,24.6489,107835.73,Operational,Expert,7070432,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_aruwimi_km2188,Aruwimi,Congo,1.3079,24.7769,107835.73,Operational,Automatic,7070432,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_aruwimi_km2235,Aruwimi,Congo,1.4936,25.0739,157.92,Operational,Automatic,7070065,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_aruwimi_km2269,Aruwimi,Congo,1.5437,25.2961,102599.49,Operational,Expert,7069946,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_aruwimi_km2306,Aruwimi,Congo,1.7272,25.4854,98791.06,Operational,Expert,7069657,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_aruwimi_km2357,Aruwimi,Congo,1.8811,25.8394,93785.11,Operational,Automatic,7069404,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_aruwimi_km2367,Aruwimi,Congo,1.8789,25.9231,91939.33,Operational,Automatic,7069401,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_aruwimi_km2434,Aruwimi,Congo,1.8544,26.3959,89344.12,Operational,Expert,7069522,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_aruwimi_km2499,Aruwimi,Congo,1.7011,26.8286,84216.95,Operational,Expert,7069746,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_aruwimi_km2509,Aruwimi,Congo,1.6876,26.9009,84216.95,Operational,Automatic,7069746,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_aruwimi_km2526,Aruwimi,Congo,1.649,27.053,61882.67,Research,Expert,7069877,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bili_km2308,Bili,Congo,4.2041,22.6029,21489.97,Operational,Automatic,7065545,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bili_km2396,Bili,Congo,4.2736,23.0531,19177.48,Operational,Automatic,7065367,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bili_km2405,Bili,Congo,4.2336,23.0886,19177.48,Operational,Expert,7065367,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bima_km2905,Bima,Congo,3.431,26.416,20716.14,Research,Expert,7066811,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bima_km2959,Bima,Congo,3.29,26.712,19120.85,Research,Expert,7067057,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bima_km2965,Bima,Congo,3.299,26.745,19120.85,Research,Expert,7067057,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bima_km3089,Bima,Congo,3.313,27.426,12825.74,Research,Expert,7067165,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bima_km3101,Bima,Congo,3.313,27.467,11622.94,Research,Expert,7067013,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bima_km3200,Bima,Congo,3.005,28.117,7936.55,Research,Expert,7067515,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bima_km3217,Bima,Congo,3.013,28.211,7595.23,Research,Expert,7067521,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bima_km3339,Bima,Congo,2.831,28.797,4290.15,Research,Expert,7067862,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bima_km3370,Bima,Congo,2.792,28.978,3730.42,Research,Expert,7067915,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bolombo_km1730,Bolombo,Congo,1.4079,21.47,7539.44,Operational,Expert,7070342,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bolombo_km1737,Bolombo,Congo,1.3894,21.5227,7539.44,Operational,Expert,7070342,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bolombo_km1787,Bolombo,Congo,1.3084,21.8418,5959.09,Operational,Expert,7070469,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bomokandi_km2868,Bomokandi,Congo,3.5396,26.2048,24234.92,Operational,Automatic,7066793,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bomokandi_km2904,Bomokandi,Congo,3.4375,26.4071,20716.14,Operational,Automatic,7066811,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bomokandi_km2933,Bomokandi,Congo,3.2762,26.5484,20326.24,Operational,Automatic,7067068,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bomokandi_km2943,Bomokandi,Congo,3.2791,26.6169,19630.57,Operational,Expert,7067072,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bomokandi_km3020,Bomokandi,Congo,3.1531,27.0419,15466.8,Operational,Automatic,7067311,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bomokandi_km3023,Bomokandi,Congo,3.1351,27.0524,15466.8,Operational,Automatic,7067311,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bomokandi_km3086,Bomokandi,Congo,3.3019,27.4016,12825.74,Operational,Expert,7067165,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bomokandi_km3102,Bomokandi,Congo,3.3181,27.4741,11622.94,Operational,Automatic,7067013,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bomokandi_km3119,Bomokandi,Congo,3.3313,27.5636,11622.94,Operational,Expert,7067013,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_bomu_km3115,Bomu,Congo,5.154,26.301,285.3,Research,Expert,7063706,africa,geoglows,Central African Republic,Tropical
Congo_boumba_km1631,Boumba,Congo,2.1266,15.1408,27020.86,Operational,Automatic,7069109,africa,geoglows,Cameroon,Tropical
Congo_boumba_km1637,Boumba,Congo,2.1691,15.1505,27020.86,Operational,Automatic,7069109,africa,geoglows,Cameroon,Tropical
Congo_busira_km1355,Busira,Congo,-0.2446,19.2251,123096.43,Operational,Expert,7072796,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_busira_km1362,Busira,Congo,-0.2394,19.2919,123096.43,Operational,Expert,7072796,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_busira_km1372,Busira,Congo,-0.2153,19.3736,122572.97,Operational,Expert,7072679,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_busira_km1431,Busira,Congo,-0.2579,19.7542,118018.97,Operational,Automatic,7072763,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_busira_km1444,Busira,Congo,-0.2889,19.8576,117735.31,Operational,Automatic,7072767,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_busira_km1513,Busira,Congo,-0.2199,20.2314,96218.27,Operational,Expert,7072764,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_busira_km1541,Busira,Congo,-0.3229,20.3326,93301.48,Operational,Expert,7072872,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_busira_km1556,Busira,Congo,-0.3506,20.4286,93301.48,Operational,Expert,7072872,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_busira_km1593,Busira,Congo,-0.3401,20.6719,91363.2,Operational,Automatic,7072878,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_chinko_km2656,Chinko,Congo,5.3834,24.2094,50207.9,Operational,Automatic,7062973,africa,geoglows,Central African Republic,Tropical
Congo_chinko_km2691,Chinko,Congo,5.5352,24.3131,49286.24,Operational,Expert,7062644,africa,geoglows,Central African Republic,Tropical
Congo_chinko-Trib-01_km2709,Chinko-trib-01,Congo,5.6531,24.3396,16810.83,Operational,Expert,7062344,africa,geoglows,Central African Republic,Tropical
Congo_chiumbe_km1858,Chiumbe,Congo,-7.8636,21.0736,19983.86,Operational,Automatic,7082420,africa,geoglows,Angola,Tropical
Congo_congo_km0001,Congo,Congo,-6.07,12.466,3752116.69,Research,Expert,7080331,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km0030,Congo,Congo,-6.0269,12.7174,3748091.56,Operational,Automatic,7080278,africa,geoglows,Angola,Tropical
Congo_congo_km0031,Congo,Congo,-6.0269,12.7199,3748091.56,Operational,Automatic,7080278,africa,geoglows,Angola,Tropical
Congo_congo_km0032,Congo,Congo,-6.034,12.722,3748091.56,Research,Expert,7080278,africa,geoglows,Angola,Tropical
Congo_congo_km0039,Congo,Congo,-6.0255,12.7854,3748091.56,Operational,Expert,7080278,africa,geoglows,Angola,Tropical
Congo_congo_km0062,Congo,Congo,-5.926,12.934,3747464.19,Research,Expert,7080165,africa,geoglows,Angola,Tropical
Congo_congo_km0091,Congo,Congo,-5.8836,13.1519,3746273.78,Operational,Expert,7080119,africa,geoglows,Angola,Tropical
Congo_congo_km0116,Congo,Congo,-5.9064,13.3616,3741741.24,Operational,Expert,7080130,africa,geoglows,Angola,Tropical
Congo_congo_km0156,Congo,Congo,-5.7109,13.5811,3733897.5,Operational,Automatic,7080000,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km0290,Congo,Congo,-5.1546,13.9885,3718136.96,Operational,Automatic,7079363,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km0309,Congo,Congo,-5.0289,14.0216,3715700.68,Operational,Automatic,7079285,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km0328,Congo,Congo,-4.948,14.155,3714484.69,Research,Expert,7079089,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km0351,Congo,Congo,-4.9226,14.3406,3710898.91,Operational,Automatic,7079048,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km0376,Congo,Congo,-4.8625,14.5264,3708931.75,Operational,Automatic,7079027,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km0522,Congo,Congo,-4.301,15.449,3676939.38,Research,Expert,7078318,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km0548,Congo,Congo,-4.145,15.414,3671786.25,Research,Expert,7078249,africa,geoglows,Congo-Brazzaville,Tropical
Congo_congo_km0561,Congo,Congo,-4.0494,15.5449,3671786.25,Operational,Expert,7078249,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km0622,Congo,Congo,-3.7936,15.9584,3657542.74,Operational,Automatic,7077849,africa,geoglows,Congo-Brazzaville,Tropical
Congo_congo_km0755,Congo,Congo,-2.7196,16.1983,2721125.4,Operational,Expert,7076435,africa,geoglows,Congo-Brazzaville,Tropical
Congo_congo_km0810,Congo,Congo,-2.262,16.181,2716742.12,Research,Expert,7075722,africa,geoglows,Congo-Brazzaville,Tropical
Congo_congo_km0856,Congo,Congo,-1.945,16.367,2703178.47,Research,Expert,7075235,africa,geoglows,Congo-Brazzaville,Tropical
Congo_congo_km0953,Congo,Congo,-1.3495,16.8316,2671104.79,Operational,Expert,7074539,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km0973,Congo,Congo,-1.179,16.917,2384377.75,Research,Expert,7074355,africa,geoglows,Congo-Brazzaville,Tropical
Congo_congo_km1010,Congo,Congo,-1.042,17.167,2383476.88,Research,Expert,7073956,africa,geoglows,Congo-Brazzaville,Tropical
Congo_congo_km1016,Congo,Congo,-1.0364,17.2156,2381076.36,Operational,Automatic,7073939,africa,geoglows,Congo-Brazzaville,Tropical
Congo_congo_km1021,Congo,Congo,-1.0119,17.2484,2381076.36,Operational,Expert,7073939,africa,geoglows,Congo-Brazzaville,Tropical
Congo_congo_km1043,Congo,Congo,-0.9154,17.3863,192.55,Operational,Expert,7073724,africa,geoglows,Congo-Brazzaville,Tropical
Congo_congo_km1082,Congo,Congo,-0.6859,17.6076,2378931.38,Operational,Expert,7073609,africa,geoglows,Congo-Brazzaville,Tropical
Congo_congo_km1128,Congo,Congo,-0.4316,17.8494,1714912.44,Operational,Automatic,7073197,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1152,Congo,Congo,-0.2789,17.9851,1714912.44,Operational,Automatic,7073197,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1170,Congo,Congo,-0.178,18.076,1714141.98,Research,Expert,7072743,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1184,Congo,Congo,-0.075,18.112,1714141.98,Research,Expert,7072743,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1248,Congo,Congo,0.4224,18.3281,1521983.33,Operational,Expert,7071693,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1342,Congo,Congo,1.133,18.565,1436571.71,Research,Expert,7070630,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1347,Congo,Congo,1.1599,18.5978,1436571.71,Operational,Automatic,7070630,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1362,Congo,Congo,1.2526,18.6831,1436571.71,Operational,Automatic,7070630,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1363,Congo,Congo,1.2539,18.6846,1436571.71,Operational,Expert,7070630,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1409,Congo,Congo,1.4729,18.9959,1435384.69,Operational,Expert,7070202,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1435,Congo,Congo,1.594,19.182,2971.08,Research,Expert,7069850,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1436,Congo,Congo,1.596,19.184,2971.08,Research,Expert,7069850,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1449,Congo,Congo,1.6866,19.2464,1430673.53,Operational,Automatic,7069734,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1471,Congo,Congo,1.7791,19.4029,1430176.64,Operational,Automatic,7069607,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1516,Congo,Congo,1.8851,19.7624,1424329.65,Operational,Expert,7069460,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1524,Congo,Congo,1.885,19.836,1371549.49,Research,Expert,7069420,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1525,Congo,Congo,1.8958,19.8406,1371549.49,Operational,Expert,7069420,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1575,Congo,Congo,1.9522,20.2461,1370245.37,Operational,Automatic,7069293,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1580,Congo,Congo,1.9787,20.2869,1370245.37,Operational,Automatic,7069293,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1610,Congo,Congo,2.008,20.528,1368166.46,Research,Expert,7069191,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1632,Congo,Congo,2.004,20.711,1367803.55,Research,Expert,7069190,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1633,Congo,Congo,1.9911,20.7194,1367803.55,Operational,Expert,7069190,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1638,Congo,Congo,1.9916,20.7611,1367510.15,Operational,Expert,7069192,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1692,Congo,Congo,2.0666,21.2054,1363315.85,Operational,Automatic,7069065,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1693,Congo,Congo,2.0679,21.2089,1363315.85,Operational,Automatic,7069065,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1695,Congo,Congo,2.061,21.234,1363315.85,Research,Expert,7069065,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1696,Congo,Congo,2.0684,21.2359,1363315.85,Operational,Expert,7069065,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1702,Congo,Congo,2.0659,21.2846,1362966.33,Operational,Expert,7069044,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1704,Congo,Congo,2.093,21.3,1362966.33,Research,Expert,7069044,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1723,Congo,Congo,2.112,21.453,1360763.17,Research,Expert,7069001,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1747,Congo,Congo,2.1451,21.6461,1359817.95,Operational,Expert,7068950,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1749,Congo,Congo,2.1549,21.6661,1359817.95,Operational,Expert,7068950,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1781,Congo,Congo,2.182,21.926,1854.81,Research,Expert,7068898,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1811,Congo,Congo,2.2153,22.1731,302.15,Operational,Automatic,7068845,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1813,Congo,Congo,2.194,22.19,1353876.64,Research,Expert,7068919,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1861,Congo,Congo,2.0858,22.5701,1297727.67,Operational,Expert,7069119,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1863,Congo,Congo,2.0777,22.5844,1297727.67,Operational,Expert,7069119,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1877,Congo,Congo,2.001,22.685,1297392.5,Research,Expert,7069195,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1898,Congo,Congo,1.918,22.848,1296314.04,Research,Expert,7069341,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1924,Congo,Congo,1.8566,23.0311,1294034.04,Operational,Automatic,7069462,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1952,Congo,Congo,1.6534,23.1593,1292517.96,Operational,Automatic,7069875,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km1992,Congo,Congo,1.4209,23.3999,1288697.97,Operational,Expert,7070200,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km2001,Congo,Congo,1.364,23.445,1287178.27,Research,Expert,7070435,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km2024,Congo,Congo,1.227,23.574,1286544.63,Research,Expert,7070503,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km2050,Congo,Congo,1.1116,23.7465,1160209.18,Operational,Expert,7070890,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km2053,Congo,Congo,1.1039,23.7761,1160209.18,Operational,Expert,7070890,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km2054,Congo,Congo,1.103,23.781,1160209.18,Research,Expert,7070890,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km2056,Congo,Congo,1.1026,23.7954,1160209.18,Operational,Automatic,7070890,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km2092,Congo,Congo,0.99,24.081,1160209.18,Research,Expert,7070890,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km2113,Congo,Congo,0.8623,24.2069,1158739.96,Operational,Expert,7071113,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km2128,Congo,Congo,0.7731,24.3031,1053170.13,Operational,Automatic,7071203,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km2140,Congo,Congo,0.75,24.397,1052903.89,Research,Expert,7071205,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km2161,Congo,Congo,0.7241,24.5591,1051192.34,Operational,Expert,7071315,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km2172,Congo,Congo,0.6551,24.6329,1050654.24,Operational,Automatic,7071486,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km2183,Congo,Congo,0.609,24.716,1050654.24,Research,Expert,7071486,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km2195,Congo,Congo,0.5771,24.8081,1049300.88,Operational,Expert,7071502,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo_km2270,Congo,Congo,0.356,25.379,986130.29,Research,Expert,7071847,africa,geoglows,Democratic Republic of the Congo,Tropical
Congo_congo-Trib-02_km0964,Congo-trib-02,Congo,-1.2394,16.7951,72128.16,Operational,Expert,7074225,africa,geoglows,Congo-Brazzaville,Tropical
Congo_couyo_km1059,Couyo,Congo,-0.742,16.515,17445.24,Research,Expert,7073469,africa,geoglows,Congo-Brazzaville,Tropical
Congo_couyo_km1126,Couyo,Congo,-0.651,16.083,15667.29,Research,Expert,7073310,africa,geoglows,Congo-Brazzaville,Tropical
Congo_cugo_km1625,Cugo,Congo,-7.6332,16.816,13154.84,Operational,Automatic,7082115,africa,geoglows,Angola,Tropical
