Folder,Data_Source,Code,Name,Latitude,Longitude,COMID_v1,COMID_v2,Bias Corrected,Corrected Variability,Corrected Correlation,Corrected KGE
Australia,Australia,207004,Hastings River at Ellenborough (Kindee Bridge) (207004),-31.4241,152.4697,251988,541589465,0.401261363,2.620166456,0.577452716,-0.778193889
Australia,Australia,207013,Ellenborough River at D/S Bunnoo R Junction (207013),-31.481,152.4478,252194,541629787,0.620350413,1.871591252,0.581784298,-0.038609403
Australia,Australia,207014,Wilson River at Avenel (207014),-31.3326,152.7404,251577,541528981,0.415480455,2.306393738,0.530732192,-0.506167313
Australia,Australia,207015,Hastings River at Mount Seaview (207015),-31.3714,152.2442,251780,541524950,0.705715933,1.551414749,0.63731398,0.277364209
Australia,Australia,208003,Gloucester River at Doon Ayre (208003),-31.8981,152.0956,253595,541522282,0.656681067,2.09330228,0.60645819,-0.211632338
Australia,Australia,208004,Manning River at Killawarra (208004),-31.92,152.31,253459,541456428,0.628173735,2.134351375,0.627368691,-0.250544644
Australia,Australia,208005,Nowendoc River at Rocks Crossing (208005),-31.779,152.0746,253201,541600230,0.531773391,2.413755008,0.633204403,-0.53377912
Australia,Australia,208007,Nowendoc River at Nowendoc (208007),-31.5162,151.7163,252787,541422812,0.6697843,2.070016604,0.60877315,-0.186185647
Australia,Australia,208009,Barnard River at Barry (208009),-31.58,151.315,252402,541253471,0.640591099,2.250022168,0.429431537,-0.420309315
Australia,Australia,208011,Barnard River at Mackay (208011),-31.77,151.9,253065,541596198,0.583970508,2.241301894,0.65343243,-0.35425995
Australia,Australia,208015,Landsdowne River at Landsdowne (208015),-31.7889,152.5128,253264,541264231,0.559105094,2.181390947,0.518664208,-0.349724799
Australia,Australia,208024,Barnard River at D/S Back R Jctn (208024),-31.56,151.34,252575,541371742,0.76250264,1.612295834,0.527897815,0.191178847
Australia,Australia,208026,Myall River at Jacky Barkers (208026),-31.6417,151.7342,252664,541461793,0.773994055,1.882717723,0.644595296,0.021950017
Australia,Australia,209002,Mammy Johnsons River at Crossing (209002),-32.2453,151.9778,254464,541194360,0.522774886,2.424961088,0.493881535,-0.585690327
Australia,Australia,209003,Karuah River at Booral (209003),-32.48,151.96,255339,541275009,0.640416644,1.890780963,0.534286187,-0.067558087
Australia,Australia,210011,William River at Tillegra (210011),-32.3195,151.6881,254599,541182267,0.576263658,2.152830816,0.489233345,-0.330208237
Australia,Australia,210014,Rouchel Brook River at Rouchel Brook (The Vale) (210014),-32.1531,151.0474,254185,541210484,0.513793335,2.501524008,0.542444079,-0.643267686
Australia,Australia,210016,Goulburn River at Kerrabee (210016),-32.42,150.32,254862,541066687,0.271581053,6.415616836,0.489841519,-4.48814737
Australia,Australia,210017,Moonan Brook River at Moonan Brook (210017),-31.9437,151.2797,253594,541133869,0.652688007,2.102067225,0.364343678,-0.318801254
Australia,Australia,210022,Allyn River at Halton (210022),-32.3078,151.5117,254969,541116409,0.751597678,1.81091653,0.583227236,0.055019117
Australia,Australia,210040,Wybong Creek at Wybong (210040),-32.2708,150.6349,254708,541264249,0.16441929,6.987930955,0.277800045,-5.088931353
Australia,Australia,210052,Pages River at Gundy Recorder (210052),-32.0119,150.9965,254127,541483311,0.360791786,3.190520063,0.355535267,-1.371138984
Australia,Australia,211009,Wyong River at Gracemere (211009),-33.2724,151.3593,256962,541006240,1.516659866,0.669992056,0.007196011,-0.166834358
Australia,Australia,211013,Ourimbah Creek at U/S Weir (211013),-33.3497,151.3428,257137,540812707,0.497628072,2.469962637,0.455507929,-0.646098211
Australia,Australia,211014,Wyong River at Yarramalong (211014),-33.2198,151.2734,256962,540925598,0.613090035,1.49107337,0.469392759,0.180002182
Australia,Australia,212040,Kialla Creek at Pomeroy (212040),-34.6089,149.5431,259491,540572180,0.384275618,2.823916145,0.566268821,-0.973299104
Australia,Australia,212209,Nepean River at Maguires Crossing (212209),-34.4765,150.5337,259339,540654160,0.677442252,1.566158239,0.31176205,0.052239414
Australia,Australia,212260,Kowmung River at Cedar Ford (212260),-33.9473,150.2438,258561,540853051,0.594514808,2.315888082,0.606630257,-0.432033324
Australia,Australia,215004,Corang River at Hockeys (215004),-35.1471,150.0329,260200,540483498,0.379542158,3.565656661,0.511148204,-1.684499602
Australia,Australia,215207,Shoalhaven river at Fossickers Flat (215207),-34.8217,150.1833,259762,540607133,1.43545446,0.820092996,0.671723667,0.425759225
Australia,Australia,216002,Clyde River at Brooman (216002),-35.468,150.236,260571,540449910,0.44858411,2.834263349,0.568756574,-0.963301406
Australia,Australia,216009,BuCreekenbowra River at Buckenbowra No.3 (216009),-35.714,150.034,260735,540388096,0.58248386,2.120909658,0.614393049,-0.256762074
Australia,Australia,218001,Tuross River at Tuross Vale (218001),-36.2647,149.5103,261299,540307479,0.564356639,2.500418464,0.55983916,-0.623201241
Australia,Australia,218005,Tuross River at D/S Wadbilliga R Junction (218005),-36.1975,149.7606,261218,540410963,0.571604094,2.395010961,0.569549602,-0.521468428
Australia,Australia,218007,Wadbilliga River at Wadbilliga (218007),-36.2586,149.6914,261273,540357205,0.731822795,1.815549025,0.536558116,0.024388599
Australia,Australia,218008,Tuross River at Eurobodalla (218008),-36.13,150,261201,540428432,0.428395875,2.477121382,0.574207681,-0.640096934
Australia,Australia,219003,Bemboka River at Morans Crossing (219003),-36.667,149.647,261627,540365284,0.665272208,1.948500975,0.641327607,-0.067868287
Australia,Australia,219006,Tantawangalo Creek at Tantawangalo Mountain Dam (219006),-36.78,149.54,261727,540331689,0.636952905,2.071474043,0.630087802,-0.190249912
Australia,Australia,219017,Double Creek at near Brogo (219017),-36.6,149.809,261565,540361250,0.609323786,2.067172818,0.586360006,-0.209373297
Australia,Australia,219022,Tantawangalo Creek at Candelo Dam Site (219022),-36.732,149.684,261727,540400232,0.670233346,1.95713572,0.59892483,-0.08890593
Australia,Australia,220003,Pambula River at Lochiel (220003),-36.9414,149.8194,261884,540404272,0.503589881,2.659973325,0.468766302,-0.812220651
Australia,Australia,221002,Wallagaraugh River at Princes HWY (221002),-37.3719,149.7125,262220,540378752,0.253743553,4.288410616,0.487552188,-2.410739777
Australia,Australia,221201,Cann(West Branch River at Weeragua (221201),-37.373,149.2,262223,540415041,0.522926906,1.678814172,0.397874659,-0.02515479
Australia,Australia,221207,Errinundra River at Errinundra (221207),-37.447,148.914,262293,540406979,0.53311123,1.896683624,0.334762447,-0.210193227
Australia,Australia,221208,Wingan River at Wingan Inlet National Park (221208),-37.689,149.49,262525,540342476,0.743102804,1.323327926,0.498100616,0.350046072
Australia,Australia,221209,Cann(East Branch River at Weeragua (221209),-37.356,149.21,262221,540345151,0.525829481,2.406226457,0.539583675,-0.553799769
Australia,Australia,221210,Genoa River at The Gorge (221210),-37.417,149.519,262296,540435201,0.500065855,2.709985744,0.578884815,-0.83066201
Australia,Australia,221211,Combienbar River at Combienbar (221211),-37.44,148.98,262294,540388163,0.881455389,1.405873259,0.607608506,0.423149056
Australia,Australia,221212,Bemm River at Princes HWY (221212),-37.606,148.9,262529,540388169,0.757507321,1.590230169,0.620093555,0.257367346
Australia,Australia,222004,Little Plains River at Wellesley (Rowes) (222004),-36.9969,149.0925,261915,540447282,0.853471827,1.752847378,0.685197395,0.170934043
Australia,Australia,222016,Pinch River at The Barry Way (222016),-36.7936,148.4033,261725,540311529,0.840552264,1.448379396,0.4058726,0.238780563
Australia,Australia,222202,Brodribb Riber River at Sardine Creek (222202),-37.512,148.55,262357,540397574,0.524879554,2.940411612,0.528047455,-1.052724012
Australia,Australia,222206,Buchan River at Buchan (222206),-37.4946,148.1746,262319,540447297,0.495960832,4.391246909,0.644654577,-2.446865453
Australia,Australia,222213,Suggan Buggan River at Suggan Buggan (222213),-36.9542,148.3267,261938,540416368,0.644557831,3.203379579,0.33776706,-1.32804063
Australia,Australia,222217,Rodger River at Jacksons Crossing (222217),-37.41,148.36,262253,540377410,0.92160345,1.426850123,0.683005919,0.462568801
Australia,Australia,223202,Tambo River at Swifts Creek (223202),-37.2677,147.7287,262226,540427132,0.910859232,1.335981588,0.613909274,0.48048508
Australia,Australia,224201,Wonnangatta R River at Waterford (224201),-37.49,147.17,262333,540413701,0.941638471,1.253519143,0.77232906,0.654294807
Australia,Australia,224206,Wonnangatta River at Crooked River (224206),-37.4062,147.0888,262242,540436545,0.704454579,2.747073009,0.629699453,-0.810175044
Australia,Australia,224213,Dargo River at Lower Dargo Rd (224213),-37.4937,147.2713,262340,540454020,0.958921786,1.215308063,0.81276817,0.71172801
Australia,Australia,224214,Wentworth River at Tabberabbera (224214),-37.4946,147.3929,262380,540402949,0.911642057,1.476606135,0.627694477,0.388794685
Australia,Australia,225213,Aberfeldy River at Beardmore (225213),-37.854,146.43,262651,540283346,0.726847715,1.795622895,0.611176595,0.073279113
Australia,Australia,225218,Freestone Creek at Briagolong (225218),-37.812,147.09,262579,540327697,0.481171504,4.661528017,0.537755575,-2.726880779
Australia,Australia,225219,Macalister River at Glencairn (225219),-37.5161,146.5662,262367,540401605,0.941262483,1.227364297,0.802205164,0.692970007
Australia,Australia,226204,Latrobe River at Willow Grove (226204),-38.089,146.16,262793,540229596,0.925804965,1.219338142,0.56266418,0.505149777
Australia,Australia,226209,Moe R River at Darnum (226209),-38.206,146,262834,540225569,0.760174404,1.713806262,0.59054661,0.142860703
Australia,Australia,226220,Loch River at Noojee (226220),-37.8665,146.0065,262632,540249747,0.936927384,1.549857973,0.563207824,0.29494018
Australia,Australia,226226,Tanjil River at Tanjil Junction (226226),-37.98,146.19,262791,540260504,3.82867829,0.330807804,0.012230633,-2.07000446
Australia,Australia,226402,Moe Drain River at Trafalgar East (226402),-38.176,146.21,262831,540232288,16.54890423,2.162494408,0.369387083,-14.6050469
Australia,Australia,226410,Traralgon Creek at Koornalla (226410),-38.323,146.53,262897,540147622,0.262788669,2.089642329,0.000248282,-0.652363292
Australia,Australia,227200,Tarra River at Yarram (227200),-38.538,146.68,262975,540109998,0.515486966,2.821212674,0.30207268,-1.009644503
Australia,Australia,227202,Tarwin River at Meeniyan (227202),-38.582,145.99,262968,540130160,0.666093153,1.554324342,0.611873977,0.245406686
Australia,Australia,227211,Agnes River at Toora (227211),-38.64,146.37,262977,0,0.520384169,2.485311058,0.529971738,-0.63006345
Australia,Australia,227219,Bass River at Loch (227219),-38.358,145.72,262945,540111337,0.834074175,1.262813155,0.668475157,0.545565345
Australia,Australia,227225,Tarra River at Fischers (227225),-38.4688,146.5551,262949,540093869,0.429513647,3.122716858,0.495074622,-1.255289599
Australia,Australia,227226,Tarwin River East Branch  at Dumbalk North (227226),-38.4994,146.1606,262959,540123436,0.604731843,1.762146656,0.543835079,0.027790724
Australia,Australia,227227,Wilkur Creek at Leongatha (227227),-38.3937,145.9573,262933,540138216,0.44340119,2.61665689,0.442815358,-0.79828709
Australia,Australia,227231,Bass River at Glen Forbes South (227231),-38.467,145.51,262945,540140906,0.777405971,1.249514763,0.534874691,0.427158598
Australia,Australia,227236,Powlett River at D/S Foster Ck Junction (227236),-38.559,145.71,262960,540099247,0.919068451,1.270618703,0.632852123,0.536770077
Australia,Australia,227237,Franklin River at Toora (227237),-38.63,146.31,262978,0,0.612630116,1.833313943,0.155211851,-0.248252607
Australia,Australia,230205,Deep Creek at Bulla (D/S of Emu Ck Ju (230205),-37.632,144.8,262462,540382794,0.664168174,2.039531054,0.622302071,-0.155882154
Australia,Australia,230210,Saltwater Creek at Bullengarook (230210),-37.4718,144.5243,262308,540363973,0.282410072,3.049646891,0.334268543,-1.271384172
Australia,Australia,231211,Lerderderg River at U/S Goodman Ck Junction (231211),-37.63,144.43,262438,540366664,0.53375999,1.848997249,0.482943776,-0.097963212
Australia,Australia,231213,Lerderderg River at Sardine Creek O'brien Crossing (231213),-37.4965,144.3613,262438,540354565,0.618424853,2.515890029,0.584653636,-0.61741608
Australia,Australia,231225,Werribee River at Ballan (U/S Old Western H- (231225),-37.598,144.25,262428,540342473,0.640606112,1.402406614,0.593636308,0.324554592
Australia,Australia,234200,Woady Yaloak River River at Pitfield (234200),-37.809,143.59,262661,540326353,0.617630645,2.710325636,0.367114554,-0.863320717
Australia,Australia,234201,Woady Yaloak River at Cressy (Yarima) (234201),-38.012,143.64,262747,540232281,0.542913521,2.80603533,0.466816559,-0.937776108
Australia,Australia,234203,Pirron YalloCreek C River at Pirron Yallock (above H'Wy) (234203),-38.354,143.42,262921,540162406,0.92022324,1.200421315,0.668786108,0.60473341
Australia,Australia,235202,Gellibrand River River at Upper Gelliberand (235202),-38.564,143.66,262955,540092527,0.575512963,2.881737754,0.566744489,-0.977077782
Australia,Australia,235203,Curdies River River at Curdie (235203),-38.445,142.96,262964,540144938,0.951462099,1.136311922,0.66425065,0.634398449
Australia,Australia,235205,Arkins Creek West Branch at Wyelangta (235205),-38.6382,143.4437,262242,0,0.71444207,2.070747232,0.626204924,-0.169515167
Australia,Australia,235211,Kennedys Creek at Kennedys Ck (235211),-38.588,143.26,262971,540107310,0.906736481,1.305377172,0.713843969,0.571235991
Australia,Australia,235224,Gellibrand River at Burrupa (235224),-38.7,143.25,262984,540058932,0.909437493,1.124609736,0.784030887,0.734723141
Australia,Australia,235234,Love Creek at Gellibrand (235234),-38.483,143.57,262948,540108652,0.76231789,1.593275982,0.652156076,0.272356838
Australia,Australia,235237,Scotts Creek at Curdie (Digneys Br) (235237),-38.448,142.99,262938,540144939,0.941634548,1.038216831,0.67341923,0.666050825
Australia,Australia,236205,Merri River at Woodford (236205),-38.316,142.48,262925,540182565,0.689675872,1.755460184,0.530547095,0.057977079
Australia,Australia,236212,BruCreeknell Creek at Cudgee (236212),-38.346,142.65,262917,540158375,0.83682595,1.365721811,0.593648253,0.429473965
Australia,Australia,236213,Mount Emu Creek at Mena Park (236213),-37.5311,143.4664,262348,540417731,0.278322518,2.162836057,0.432884439,-0.481427063
Australia,Australia,237202,Fitzroy River at Heywood (237202),-38.126,141.62,262777,540210782,0.821875923,1.60452496,0.62345849,0.265859603
Australia,Australia,237205,Darlot Creek at Homerton Br (237205),-38.15,141.77,262840,540232286,0.779034118,1.325640316,0.492381353,0.357703941
Australia,Australia,237206,Eumeralla River at Codrington (237206),-38.258,141.94,262894,540229599,0.647935401,1.519611571,0.527533395,0.214398091
Australia,Australia,237207,Surry River at Heathmere (237207),-38.243,141.66,262856,540197346,0.736107335,1.45533969,0.687004682,0.387676849
Australia,Australia,238204,Wannon River River at Dunkeld (238204),-37.631,142.34,262440,540361290,0.493047822,2.814129974,0.419458684,-0.971064762
Australia,Australia,238208,Jimmy Creek at Jimmy Creek (238208),-37.3738,142.5082,262387,540381449,0.589822489,2.23091962,0.438902196,-0.413590976
Australia,Australia,238223,Wando River at Wando Vale (238223),-37.496,141.43,262310,540389509,0.589838234,2.10332572,0.626910535,-0.234810134
Australia,Australia,238229,Chetwynd River at Chetwynd (238229),-37.321,141.48,262199,540349182,0.258593016,4.161965362,0.008725586,-2.395634584
Australia,Australia,238230,Stokes River at Teakettle (238230),-37.87,141.41,262627,540290067,0.853716704,1.286273376,0.528556741,0.429377537
Australia,Australia,238231,Glenelg River at Big Cord (238231),-37.312,142.37,262185,540265855,0.7419682,1.749954424,0.673981783,0.142503688
Australia,Australia,238235,Crawford River at Lower Crawford (238235),-37.98,141.46,262684,540268568,0.77487213,1.794985245,0.659323625,0.106274936
Australia,Australia,302200,Swan river at The Grange (302200),-42.0467,148.075,1029767,540112822,0.318185765,4.010011493,0.580667876,-2.114623455
Australia,Australia,302208,Meredith River at Swansea (302208),-42.1217,148.04,1029841,0,0.350608733,3.346074518,0.569829818,-1.472007493
Australia,Australia,302214,Forth River at U/S Lemonthyme (315450),-41.6117,146.1312,1029484,540099367,1.013263591,0.985261097,0.769916543,0.769063742
Australia,Australia,303203,Coal River at Baden (303203),-42.435,147.4533,1030092,540085961,0.427682516,1.80102691,0.491956554,-0.107835528
Australia,Australia,304040,Florentine River at U/S Derwent Junction (304040),-42.4417,146.515,1030079,540110151,1.231250635,1.818506032,0.547504985,0.036578638
Australia,Australia,304497,Nive River at Gowan Brae (304497),-42.0312,146.4196,1029755,540098038,1.044556621,0.987797636,0.538188527,0.535883606
Australia,Australia,304499,Tyenna River at Newbury (304499),-42.707,146.7105,1030225,540088657,1.006069777,1.029748519,0.759914081,0.758001931
Australia,Australia,306119,Huon River above Frying PanCreek (306119),-43.0367,146.84,1030390,540083293,1.030649037,0.99611659,0.583585241,0.582440788
Australia,Australia,307473,Davey River at D/S Crossing Rv  (307473),-43.1412,145.95,1030450,540076577,0.997560582,1.008184162,0.286806177,0.286755049
Australia,Australia,308145,Franklin River at Mt Fincham Track (308145),-42.2413,145.7676,1029979,540107454,1.004564842,0.98407743,0.533214563,0.532920767
Australia,Australia,308799,Collingwood river at B/L Alma (308799),-42.1638,145.9288,1029849,540104763,0.994080142,0.975406495,0.686493267,0.685474394
Australia,Australia,312061,Hellyer River at Guilford Junction (312061),-41.4188,145.6704,1029342,540158495,0.884547871,0.970257498,0.49958968,0.485583535
Australia,Australia,314207,Leven River at Bannons Bridge (314207),-41.2512,146.09,1029348,540147736,0.934081481,0.984011898,0.800917956,0.789679932
Australia,Australia,314212,Cam River U/S Somerset WS (314212),-41.06,145.8367,1029131,540115474,0.820921172,1.160176803,0.546990159,0.487219588
Australia,Australia,314213,Black River at South Forest (314213),-40.8725,145.2975,1029032,540057674,0.99109338,1.138640017,0.70809112,0.676718116
Australia,Australia,314214,Duck River at Scotchtown Road (314214),-40.8733,145.1183,1029038,540060362,0.920737672,1.092974847,0.764183363,0.734413244
Australia,Australia,316624,Arm River at U/S Mersey (316624),-41.6894,146.2154,1029561,540098026,1.01473458,0.951141895,0.807685665,0.801030088
Australia,Australia,317200,Rubicon River at Tidal Limit (317200),-41.2567,146.5667,1029299,540119513,0.779340892,1.382187384,0.78049542,0.507110662
Australia,Australia,318076,North Esk River at Ballroom (318076),-41.4937,147.3843,1029388,540139681,0.791623253,1.830075977,0.783726699,0.117264967
Australia,Australia,318150,River at South Esk at Llewellyn (318150),-41.8167,147.5633,1029616,540131630,0.779266008,1.445338886,0.696366707,0.417553955
Australia,Australia,318181,South Esk River at above Macquarie River (318181),-41.5983,147.2033,1029475,540141028,0.725199644,1.534485176,0.701387008,0.328911811
Australia,Australia,318311,St Pauls River U/S South Esk (318311),-41.7883,147.7267,1029623,540147757,0.331600775,3.258041994,0.577857039,-1.39242886
Australia,Australia,319204,Pipers River D/S  Yarrow Creek (319204),-41.0667,147.11,1029202,540112785,0.924047789,1.275407313,0.724197808,0.602904576
Australia,Australia,401009,Maragle Creek at Maragle (401009),-35.9266,148.1009,260995,540400200,1.009902775,1.24337197,0.743022277,0.645930048
Australia,Australia,401012,Murray River at Biggara (401012),-36.3188,148.0519,261476,540443225,0.958566339,1.191694787,0.777044265,0.703060782
Australia,Australia,401013,Jingellic Creek at Jingellic (401013),-35.8972,147.6917,260919,540494279,0.742556439,3.512744801,0.561653011,-1.563652025
Australia,Australia,401015,Bowna Creek at Yambla (401015),-35.9162,146.9751,260923,540433800,0.236747653,3.245638191,0.43226437,-1.438804784
Australia,Australia,401016,Welumba Creek at The Square (401016),-36.04,148.12,261051,540300749,0.932251052,1.504069564,0.675089403,0.396474573
Australia,Australia,401017,Mannus Creek at Yarramundi (401017),-35.77,147.93,260799,540456642,0.914592301,1.245458672,0.732225136,0.626840768
Australia,Australia,401203,Mitta Mitta River at Hinnomunjie (401203),-36.9476,147.6074,261874,540447280,0.936762438,1.273271544,0.784242958,0.646125125
Australia,Australia,401208,Cudgewa Creek at Berringama (401208),-36.2137,147.6778,261237,540402900,0.870182706,1.573200052,0.734919521,0.355268668
Australia,Australia,401210,Snowy Creek at Below Granite Flat (401210),-36.5685,147.4135,261533,540420385,0.872992958,1.464509921,0.826286868,0.488065914
Australia,Australia,401212,Nariel Creek at Upper Nariel (401212),-36.446,147.8285,261512,540440541,0.944500683,1.241398568,0.832817402,0.701163148
Australia,Australia,401216,Big River at Jokers Creek (401216),-36.9325,147.4725,261893,540419055,0.937650768,1.374371507,0.804695597,0.573168345
Australia,Australia,401217,Gibbo River at Gibbo Park (401217),-36.7562,147.7088,261701,540415015,0.928172235,1.27949984,0.837632443,0.668876742
Australia,Australia,401220,Tallangatta Creek at McCallums (401220),-36.213,147.34,261274,540397524,0.94319768,1.522461928,0.781686305,0.430918424
Australia,Australia,402204,Yackandandah Creek at Osbornes Flat (402204),-36.3038,146.9061,261293,540373335,0.873694075,1.569669928,0.776796802,0.37526271
Australia,Australia,402206,Running Creek at Running Creek (402206),-36.5402,147.0448,261563,540355872,0.853399389,1.436125577,0.771973215,0.486489072
Australia,Australia,402213,Kinchington Creek at Osbornes Flat (402213),-36.3164,146.8938,261360,540326296,0.783387005,1.724900246,0.683270501,0.17980543
Australia,Australia,402217,Flaggy Creek at Myrtleford Road Bridge (402217),-36.3863,146.8763,261360,540294042,0.827747386,1.670329737,0.774825936,0.272183898
Australia,Australia,403213,Fifteen Mile Creek at Greta South (403213),-36.6195,146.2438,261744,540370659,0.838163905,1.567313516,0.804061368,0.378367074
Australia,Australia,403214,Happy Valley Creek at Rosewhite (403214),-36.5776,146.8199,261549,540381409,0.773925386,1.929219225,0.721963763,0.004077188
Australia,Australia,403217,Rose River at Matong North (403217),-36.8243,146.5832,261871,540386795,0.806359493,1.517972054,0.838036832,0.423784969
Australia,Australia,403221,Reedy Creek at Woolshed (403221),-36.3113,146.6012,261338,540299415,0.802619155,1.693509907,0.757914637,0.239394641
Australia,Australia,403222,Buffalo River at Abbeyard (403222),-36.9107,146.7012,261881,540428463,0.937980858,1.218656675,0.873873652,0.740067372
Australia,Australia,403224,Hurdle Creek at Bobinawarrah (403224),-36.513,146.45,261592,540385440,0.727853495,1.624123818,0.63475089,0.22734149
Australia,Australia,403226,Boggy Creek at Angleside (403226),-36.6056,146.3619,261631,540354531,0.538499174,2.242710101,0.572258885,-0.392937137
Australia,Australia,403232,Morses Creek at Wandiligong (403232),-36.7515,146.9787,261754,540322281,0.911078247,1.370702305,0.818914668,0.577958326
Australia,Australia,404207,Holland Creek at Kelfeera (404207),-36.6115,146.059,261570,540406946,0.855223811,1.474875,0.792849817,0.462061705
Australia,Australia,405205,Murrindindi River at Murrindindi above Colwells (405205),-37.4139,145.5639,262280,540397571,0.875873767,1.421747862,0.759712117,0.498984184
Australia,Australia,405209,Acheron River at Taggerty (405209),-37.3177,145.7138,262190,540390847,0.940442949,1.209545671,0.82454028,0.720281313
Australia,Australia,405212,Sunday Creek at Tallarook (405212),-37.1,145.06,262080,540429815,0.578198511,2.259003672,0.516721177,-0.412998643
